Alabama,22.60%,R,AL
Alaska,20.90%,R,AK
Arizona,14.90%,R,AZ
Arkansas,21.90%,R,AR
California,18.70%,D,CA
Colorado,14.50%,R,CO
Connecticut,16.00%,D,CT
Delaware,17.10%,D,DE
DC,20.10%,D,DC
Florida,18.40%,R,FL
Georgia,20.60%,R,GA
Hawaii,15.70%,D,HI
Idaho,18.40%,R,ID
Illinois,20.40%,D,IL
Indiana,20.50%,R,IN
Iowa,20.90%,D,IA
Kansas,19.10%,R,KS
Kentucky,21.70%,R,KY
Louisiana,22.60%,R,LA
Maine,18.90%,D,ME
Maryland,19.60%,D,MD
Massachusetts,15.30%,D,MA
Michigan,22.10%,D,MI
Minnesota,16.40%,D,MN
Mississippi,23.70%,R,MS
Missouri,21.40%,R,MO
Montana,15.60%,R,MT
Nebraska,20.10%,R,NE
Nevada,16.00%,R,NV
New Hampshire,16.10%,R,NH
New Jersey,17.00%,D,NJ
New Mexico,17.40%,D,NM
New York,17.10%,D,NY
North Carolina,20.90%,R,NC
North Dakota,20.50%,R,ND
Ohio,20.60%,R,OH
Oklahoma,20.10%,R,OK
Oregon,19.90%,D,OR
Pennsylvania,20.30%,D,PA
Rhode Island,16.90%,D,RI
South Carolina,21.10%,R,SC
South Dakota,18.40%,R,SD
Tennessee,20.90%,R,TN
Texas,21.70%,R,TX
Utah,17.30%,R,UT
Vermont,17.00%,D,VT
Virginia,18.70%,R,VA
Washington,18.40%,D,WA
West Virginia,23.90%,R,WV
Wisconsin,19.40%,D,WI
Wyoming,16.60%,R,WY
