Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,28.070000,28.070000,28.070000,28.070000,16.425150,0
2005-01-04,27.549999,27.549999,27.549999,27.549999,16.120869,0
2005-01-05,27.500000,27.500000,27.500000,27.500000,16.091616,0
2005-01-06,27.410000,27.410000,27.410000,27.410000,16.038952,0
2005-01-07,27.340000,27.340000,27.340000,27.340000,15.997990,0
2005-01-10,27.400000,27.400000,27.400000,27.400000,16.033100,0
2005-01-11,27.379999,27.379999,27.379999,27.379999,16.021397,0
2005-01-12,27.530001,27.530001,27.530001,27.530001,16.109171,0
2005-01-13,27.469999,27.469999,27.469999,27.469999,16.074059,0
2005-01-14,27.480000,27.480000,27.480000,27.480000,16.079910,0
2005-01-18,27.500000,27.500000,27.500000,27.500000,16.091616,0
2005-01-19,27.469999,27.469999,27.469999,27.469999,16.074059,0
2005-01-20,27.150000,27.150000,27.150000,27.150000,15.886813,0
2005-01-21,27.320000,27.320000,27.320000,27.320000,15.986289,0
2005-01-24,27.370001,27.370001,27.370001,27.370001,16.015547,0
2005-01-25,27.350000,27.350000,27.350000,27.350000,16.003843,0
2005-01-26,27.650000,27.650000,27.650000,27.650000,16.179388,0
2005-01-27,27.620001,27.620001,27.620001,27.620001,16.161835,0
2005-01-28,27.620001,27.620001,27.620001,27.620001,16.161835,0
2005-01-31,27.840000,27.840000,27.840000,27.840000,16.290562,0
2005-02-01,27.980000,27.980000,27.980000,27.980000,16.372486,0
2005-02-02,28.040001,28.040001,28.040001,28.040001,16.407595,0
2005-02-03,27.860001,27.860001,27.860001,27.860001,16.302267,0
2005-02-04,27.940001,27.940001,27.940001,27.940001,16.349083,0
2005-02-07,27.879999,27.879999,27.879999,27.879999,16.313967,0
2005-02-08,27.879999,27.879999,27.879999,27.879999,16.313967,0
2005-02-09,27.870001,27.870001,27.870001,27.870001,16.308121,0
2005-02-10,27.990000,27.990000,27.990000,27.990000,16.378338,0
2005-02-11,28.209999,28.209999,28.209999,28.209999,16.507071,0
2005-02-14,28.430000,28.430000,28.430000,28.430000,16.635803,0
2005-02-15,28.590000,28.590000,28.590000,28.590000,16.729427,0
2005-02-16,28.510000,28.510000,28.510000,28.510000,16.682613,0
