Date,Open,High,Low,Close,Volume,Adj Close
2005-12-30,1254.42,1254.42,1246.59,1248.29,1443500000,1248.29
2005-12-29,1258.17,1260.61,1254.18,1254.42,1382540000,1254.42
2005-12-28,1256.54,1261.10,1256.54,1258.17,1422360000,1258.17
2005-12-27,1268.66,1271.83,1256.54,1256.54,1540470000,1256.54
2005-12-23,1268.12,1269.76,1265.92,1268.66,1285810000,1268.66
2005-12-22,1262.79,1268.19,1262.50,1268.12,1888500000,1268.12
2005-12-21,1259.62,1269.37,1259.62,1262.79,2065170000,1262.79
2005-12-20,1259.92,1263.86,1257.21,1259.62,1996690000,1259.62
2005-12-19,1267.32,1270.51,1259.28,1259.92,2208810000,1259.92
2005-12-16,1270.94,1275.24,1267.32,1267.32,2584190000,1267.32
2005-12-15,1272.74,1275.17,1267.74,1270.94,2180590000,1270.94
2005-12-14,1267.43,1275.80,1267.07,1272.74,2145520000,1272.74
2005-12-13,1260.43,1272.11,1258.56,1267.43,2390020000,1267.43
2005-12-12,1259.37,1263.86,1255.52,1260.43,1876550000,1260.43
2005-12-09,1255.84,1263.08,1254.24,1259.37,1896290000,1259.37
2005-12-08,1257.37,1263.36,1250.91,1255.84,2178300000,1255.84
2005-12-07,1263.70,1264.85,1253.02,1257.37,2093830000,1257.37
2005-12-06,1262.09,1272.89,1262.09,1263.70,2110740000,1263.70
2005-12-05,1265.08,1265.08,1258.12,1262.09,2325840000,1262.09
2005-12-02,1264.67,1266.85,1261.42,1265.08,2125580000,1265.08
2005-12-01,1249.48,1266.17,1249.48,1264.67,2614830000,1264.67
2005-11-30,1257.48,1260.93,1249.39,1249.48,2374690000,1249.48
2005-11-29,1257.46,1266.18,1257.46,1257.48,2268340000,1257.48
2005-11-28,1268.25,1268.44,1257.17,1257.46,2016900000,1257.46
2005-11-25,1265.61,1268.78,1265.54,1268.25,724940000,1268.25
2005-11-23,1261.23,1270.64,1259.51,1265.61,1985400000,1265.61
2005-11-22,1254.85,1261.90,1251.40,1261.23,2291420000,1261.23
2005-11-21,1248.27,1255.89,1246.90,1254.85,2117350000,1254.85
2005-11-18,1242.80,1249.58,1240.71,1248.27,2453290000,1248.27
2005-11-17,1231.21,1242.96,1231.21,1242.80,2298040000,1242.80
2005-11-16,1229.01,1232.24,1227.18,1231.21,2121580000,1231.21
2005-11-15,1233.76,1237.94,1226.41,1229.01,2359370000,1229.01
2005-11-14,1234.72,1237.20,1231.78,1233.76,1899780000,1233.76
2005-11-11,1230.96,1235.70,1230.72,1234.72,1773140000,1234.72
2005-11-10,1220.65,1232.41,1215.05,1230.96,2378460000,1230.96
2005-11-09,1218.59,1226.59,1216.53,1220.65,2214460000,1220.65
2005-11-08,1222.81,1222.81,1216.08,1218.59,1965050000,1218.59
2005-11-07,1220.14,1224.18,1217.29,1222.81,1987580000,1222.81
2005-11-04,1219.94,1222.52,1214.45,1220.14,2050510000,1220.14
2005-11-03,1214.76,1224.70,1214.76,1219.94,2716630000,1219.94
2005-11-02,1202.76,1215.17,1201.07,1214.76,2648090000,1214.76
2005-11-01,1207.01,1207.34,1201.66,1202.76,2457850000,1202.76
2005-10-31,1198.41,1211.43,1198.41,1207.01,2567470000,1207.01
2005-10-28,1178.90,1198.41,1178.90,1198.41,2379400000,1198.41
2005-10-27,1191.38,1192.65,1178.89,1178.90,2395370000,1178.90
2005-10-26,1196.54,1204.01,1191.38,1191.38,2467750000,1191.38
2005-10-25,1199.38,1201.30,1189.29,1196.54,2312470000,1196.54
2005-10-24,1179.59,1199.39,1179.59,1199.38,2197790000,1199.38
2005-10-21,1177.80,1186.46,1174.92,1179.59,2470920000,1179.59
2005-10-20,1195.76,1197.30,1173.30,1177.80,2617250000,1177.80
2005-10-19,1178.14,1195.76,1170.55,1195.76,2703590000,1195.76
2005-10-18,1190.10,1190.10,1178.13,1178.14,2197010000,1178.14
2005-10-17,1186.57,1191.21,1184.48,1190.10,2054570000,1190.10
2005-10-14,1176.84,1187.13,1175.44,1186.57,2188940000,1186.57
2005-10-13,1177.68,1179.56,1168.20,1176.84,2351150000,1176.84
2005-10-12,1184.87,1190.02,1173.65,1177.68,2491280000,1177.68
2005-10-11,1187.33,1193.10,1183.16,1184.87,2299040000,1184.87
2005-10-10,1195.90,1196.52,1186.12,1187.33,2195990000,1187.33
2005-10-07,1191.49,1199.71,1191.46,1195.90,2126080000,1195.90
2005-10-06,1196.39,1202.14,1181.92,1191.49,2792030000,1191.49
2005-10-05,1214.47,1214.47,1196.25,1196.39,2546780000,1196.39
2005-10-04,1226.70,1229.88,1214.02,1214.47,2341420000,1214.47
2005-10-03,1228.81,1233.34,1225.15,1226.70,2097490000,1226.70
2005-09-30,1227.68,1229.57,1225.22,1228.81,2097520000,1228.81
2005-09-29,1216.89,1228.70,1211.54,1227.68,2176120000,1227.68
